"fieldtrip-wednesday","Has a field trip Wednesday","Muaj ib qho chaw mus ua si hnub Zwj Feej (Wednesday)"
"fieldtripform-wednesday","Has a field trip Wednesday. Please return the signature form.","Muaj ib qho chaw mus ua si hnub Zwj Feej (Wednesday). Thov xa daim ntawv kos npe rov tuaj."
"projectdue-friday","Has a project due Friday","Muaj ib tes hauj lwm tas caij rau hnub Zwj Kuab (Friday)"
"projectdue-nextweek","Has a project due in one week","Muaj ib tes hauj lwm tas caij rau ib lim tiam tom ntej no"
"projectdue-monday","Has a project due Monday","Muaj ib tes hauj lwm tas caij rau hnub Zwj Hli (Monday)"
"projectdue-nextfriday","Has a project due next Friday","Muaj ib tes hauj lwm tas caij rau hnub Zwj Kuab (Friday) tom ntej"
"projectdue-nextmonday","Has a project due next Monday","Muaj ib tes hauj lwm tas caij rau hnub Zwj Hli (Monday) tom ntej"
"projectdue-nextthurday","Has a project due next Thursday","Muaj ib tes hauj lwm tas caij rau hnub Zwj Teeb (Thursday) tom ntej"
"projectdue-nexttuesday","Has a project due next Tuesday","Muaj ib tes hauj lwm tas caij rau hnub Zwj Quag (Tuesday) tom ntej"
"projectdue-nextwednesday","Has a project due next Wednesday","Muaj ib tes hauj lwm tas caij rau hnub Zwj Feej (Wednesday) tom ntej"
"projectdue-thursday","Has a project due Thursday","Muaj ib tes hauj lwm tas caij rau hnub Zwj Teeb (Thursday)"
"projectdue-tuesday","Has a project due Tuesday","Muaj ib tes hauj lwm tas caij rau hnub Zwj Quag (Tuesday)"
"projectdue-wednesday","Has a project due Wednesday","Muaj ib tes hauj lwm tas caij rau hnub Zwj Feej (Wednesday)"
"balancestudentservices","Has an overdue balance with student services","Tshuav ib qho nuj nqi tseem tiv tim chaw pab neeg kawm ntawv"
"balancenutrition","Has an overdue balance with the child nutrition department","Tshuav ib qho nuj nqi tseem tiv tim chaw pab zaub mov"
