"balancestudentservices","Has an overdue balance with student services","Ima dug za učeničke usluge (student services)"
"balancenutrition","Has an overdue balance with the child nutrition department","Ima dug prema odjelu za prehranu djece (child nutrition department)"
"balancelibrary","Has an overdue balance with the library","Ima dug prema biblioteci"
"absent5","Has been absent from class five or more times","Bio/la je odsutan/na sa časa pet ili više puta"
"absent7","Has been absent from class seven or more times","Bio/la je odsutan/na sa časa sedam ili više puta"
"absent3","Has been absent from class three or more times","Bio/la je odsutan/na sa časa tri ili više puta"
"awardmonth","Has been awarded student of the month","Dobio/la je nagradu kao učenik mjeseca"
"awardweek","Has been awarded student of the week","Dobio/la je nagradu kao učenik sedmice"
"academicprobation","Has been given academic probation","Stavljen/na je na akademsku probu"
"tutoring","Has been recommended for tutoring","Preporučen/a je za dodatne instrukcije"
"lowergrade","Has dropped by one letter grade in class","Prosječna ocjena izražena slovima za ovaj predmet je pala za jedno slovo"
"extracredit","Has an extra credit assignment","Ima dodatni zadatak"
"gradingsheet","Has had a grading sheet sent home","Izvještaj sa ocjenama je bio poslat kući"
"reportcard","Has had a report card sent home","Svjedočanstvo je bilo poslato kući"
"bettergrade","Has improved by one letter grade in class","Popravio/la prosječnu ocjenu za ovaj predmet za jedno slovo"
"workedhard","Has worked hard and is improving performance","Uložio/la veliki rad i poboljšao/la uspjeh"
"helped","Helped the teacher","Pomagao/la nastavniku/ci"
"improved-algebra","Improved algebra skills","Napredovao/la sa vještinama u algebri"
"improved-geometry","Improved geometry skills","Napredovao/la sa vještinama u geometriji"
"improved-handwriting","Improved handwriting skills","Napredovao/la sa vještinama u rukopisu"
"improved-language","Improved language skills","Napredovao/la sa jezičnim vještinama"
"improved-math","Improved math skills","Napredovao/la sa vještinama u matematici"
"improved-spelling","Improved spelling skills","Napredovao/la sa vještinama u pravopisu"
"topperformer","Is a top performer in class","Najbolji učenik na času"
"riskgraduating","Is at risk of not graduating","Postoji rizik da neće maturirati"
"riskgraduatingmeeting","Is at risk of not graduating. Please schedule a meeting.","Postoji rizik da neće maturirati. Molimo da zakažete sastanak."
"failing","Is currently in danger of failing or is failing","Postoji opasnost da neće dobiti prolaznu ocjenu ili nema prolaznu ocjenu"
"grade-a","Is earning a grade of A in class","Ima ocjenu A za ovaj predmet"
"grade-b","Is earning a grade of B in class","Ima ocjenu B za ovaj predmet"
"grade-c","Is earning a grade of C in class","Ima ocjenu C za ovaj predmet"
"grade-d","Is earning a grade of D in class","Ima ocjenu D za ovaj predmet"
"grade-f","Is earning a grade of F in class","Ima ocjenu F za ovaj predmet"
"leftclass","Left class without permission","Napustio/la čas bez odobrenja"
"losttextbook","Lost one or more textbooks","Izgubio/la jedan ili više udžbenika"
"madenoises","Made inappropriate noises during a test","Pravio/la neprikladne zvukove za vrijeme testa"
"saturdayschool","Must attend Saturday school","Mora pohađati nastavu u subotu"
"test-friday","Must study for Friday's test","Mora učiti za test koji će imati u petak"
"test-monday","Must study for Monday's test","Mora učiti za test koji će imati u ponedjeljak"
"test-nextfriday","Must study for next Friday's test","Mora učiti za test koji će imati sljedećeg petka"
"test-nextmonday","Must study for next Monday's test","Mora učiti za test koji će imati sljedećeg ponedjeljka"
"test-nextthurday","Must study for next Thursday's test","Mora učiti za test koji će imati sljedećeg četvrtka"
"test-nexttuesday","Must study for next Tuesday's test","Mora učiti za test koji će imati sljedećeg utorka"
"test-nextwednesday","Must study for next Wednesday's test","Mora učiti za test koji će imati sljedeće srijede"
"test-thursday","Must study for Thursday's test","Mora učiti za test koji će imati u četvrtak"
"test-tomorrow","Must study for tomorrow's test","Mora učiti za test koji će imati sutra"
"test-tuesday","Must study for Tuesday's test","Mora učiti za test koji će imati u utorak"
"test-wednesday","Must study for Wednesday's test","Mora učiti za test koji će imati u srijedu"
"fillplaner","Needs to fill out the daily planner","Mora popuniti dnevni planer"
"supplies","Needs to have supplies out and ready at the start of class","Mora izvaditi i pripremiti školski pribor na početku časa"
"improve-algebra","Needs to improve handwriting skills","Mora popraviti vještine u rukopisu"
"improve-language","Needs to improve language skills","Mora popraviti jezične vještine"
"improve-math","Needs to improve math skills","Mora popraviti vještine u matematici"
"improve-organizational","Needs to improve organizational skills","Mora popraviti vještine u organizovanju"
"improve-spelling","Needs to improve spelling skills","Mora popraviti vještine u pravopisu"
"studytest","Needs to study for a test or quiz","Mora učiti za test ili kontrolni rad"
"takenotes","Needs to take better notes in class","Mora praviti bolje zabilješke na času"
"wrokbetter","Needs to work better with others on a team","Mora bolje sarađivati sa drugima u timu"
"participated","Participated well in class","Sudjelovao/la vrlo dobro na času"
"testgrade-a","Received a grade of A on a test or quiz","Dobio/la ocjenu A na testu ili kontrolnom radu"
"testgrade-b","Received a grade of B on a test or quiz","Dobio/la ocjenu B na testu ili kontrolnom radu"
"testgrade-c","Received a grade of C on a test or quiz","Dobio/la ocjenu C na testu ili kontrolnom radu"
"testgrade-d","Received a grade of D on a test or quiz","Dobio/la ocjenu D na testu ili kontrolnom radu"
"testgrade-f","Received a grade of F on a test or quiz","Dobio/la ocjenu F na testu ili kontrolnom radu"
"lowtestscore","Received a low test score","Postigao/la loš rezultat na testu"
"conferenceasap","Requires that a parent-teacher conference be scheduled as soon as possible. Please contact the teacher.","Traži se zakazivanje sastanka između roditelja i nastavnika što je prije moguće. Molimo da se obratite nastavniku/ci."
"conference","Requires that a parent-teacher conference be scheduled. Please contact the teacher.","Traži se zakazivanje sastanka između roditelja i nastavnika. Molimo da se obratite nastavniku/ci."
