"mobile","Used a mobile phone or other electronic device inappropriately","A utilisé un téléphone portable ou d'autres dispositifs électroniques de façon inopportune"
"badlanguageclass","Used inappropriate language in class","A utilisé un langage déplacé en classe"
"badlanguagecampus","Used inappropriate language on campus","A utilisé un langage déplacé sur le campus"
"profanityclass","Used profanity in class ","A été irrévérencieux en classe "
"profanitycampus","Used profanity on campus ","A été irrévérencieux sur le campus "
"pleasureclass","Was a pleasure to have in class","A été très agréable comme élève"
"absent","Was absent","A été absent"
"absentmakeup","Was absent and needs to complete make up work","A été absent et doit terminer le travail de rattrapage"
"assignedproject","Was assigned a project, please check the due date with your child","Un projet lui a été attribué, veuillez vérifier avec votre enfant la date à laquelle celui-ci doit être rendu "
"assigneddetention","Was assigned detention","A été retenu"
"homeworkdue-friday","Was assigned homework that is due Friday","Des devoirs ont été donnés pour vendredi"
"homeworkdue-monday","Was assigned homework that is due Monday","Des devoirs ont été donnés pour lundi"
"homeworkdue-nextfriday","Was assigned homework that is due next Friday","Des devoirs ont été donnés pour vendredi prochain"
"homeworkdue-nextmonday","Was assigned homework that is due next Monday","Des devoirs ont été donnés pour lundi prochain"
"homeworkdue-nextthursday","Was assigned homework that is due next Thursday","Des devoirs ont été donnés pour jeudi prochain"
"homeworkdue-nexttuesday","Was assigned homework that is due next Tuesday","Des devoirs ont été donnés pour mardi prochain"
"homeworkdue-nextwednesday","Was assigned homework that is due next Wednesday","Des devoirs ont été donnés pour mercredi prochain"
"homeworkdue-thursday","Was assigned homework that is due Thursday","Des devoirs ont été donnés pour jeudi"
"homeworkdue-tomorrow","Was assigned homework that is due tomorrow","Des devoirs ont été donnés pour demain"
"homeworkdue-tuesday","Was assigned homework that is due Tuesday","Des devoirs ont été donnés pour mardi"
"homeworkdue-wednesday","Was assigned homework that is due Wednesday","Des devoirs ont été donnés pour mercredi"
"disrispectfulclassmates","Was disrespectful to classmates","A manqué de respect envers ses camarades de classe"
"disrispectfulteacher","Was disrespectful to the teacher","A manqué de respect envers son enseignant"
"disruptiveevent","Was disruptive during a school event","A perturbé une manifestation scolaire"
"disruptiveclass","Was disruptive in class","A perturbé la classe"
"disruptivefieldtrip","Was disruptive on the field trip","A perturbé une sortie éducative"
"classpresident","Was elected class president","A été élu délégué de classe"
"homeworkassignment","Was given a homework assignment","Des devoirs ont été donnés"
"importantform","Was given an important form which must be returned","A reçu un formulaire important qui doit être retourné"
"importantletter","Was given an important letter which must be signed","A reçu une lettre importante qui doit être signée"
"missingreadinglog","Was missing the reading log","A oublié son journal de lectures"
"notattentive","Was not attentive in class","N'a pas été attentif en classe"
"inappropriatedressed","Was not dressed appropriately","N'était pas habillé correctement "
"notdressedpe","Was not dressed properly for P.E.","N'avait pas sa tenue d'EPS"
"notpresentmakeup","Was not present in class and needs to complete make-up work","N'a pas été présent en classe et doit terminer un travail de rattrapage"
"gradingsheet-friday","Will have a grading sheet sent home Friday","Recevra un relevé de notes à la maison vendredi"
"gradingsheet-monday","Will have a grading sheet sent home Monday","Recevra un relevé de notes à la maison lundi"
"gradingsheet-nextfriday","Will have a grading sheet sent home next Friday","Recevra un relevé de notes à la maison vendredi prochain"
"gradingsheet-nextmonday","Will have a grading sheet sent home next Monday","Recevra un relevé de notes à la maison lundi prochain"
"gradingsheet-nextthursday","Will have a grading sheet sent home next Thursday","Recevra un relevé de notes à la maison jeudi prochain"
"gradingsheet-nexttuesday","Will have a grading sheet sent home next Tuesday","Recevra un relevé de notes à la maison mardi prochain"
"gradingsheet-nextwednesday","Will have a grading sheet sent home next Wednesday","Recevra un relevé de notes à la maison mercredi prochain"
"gradingsheet-thursday","Will have a grading sheet sent home Thursday","Recevra un relevé de notes à la maison jeudi "
"gradingsheet-tuesday","Will have a grading sheet sent home Tuesday","Recevra un relevé de notes à la maison mardi"
"gradingsheet-wednesday","Will have a grading sheet sent home Wednesday","Recevra un relevé de notes à la maison mercredi "
"reportcard-friday","Will have a report card sent home Friday","Recevra un bulletin scolaire à la maison vendredi"
"reportcard-monday","Will have a report card sent home Monday","Recevra un bulletin scolaire à la maison lundi"
"reportcard-nextfriday","Will have a report card sent home next Friday","Recevra un bulletin scolaire à la maison vendredi prochain"
"reportcard-nextmonday","Will have a report card sent home next Monday","Recevra un bulletin scolaire à la maison lundi prochain"
"reportcard-nextthursday","Will have a report card sent home next Thursday","Recevra un bulletin scolaire à la maison jeudi prochain"
"reportcard-nexttuesday","Will have a report card sent home next Tuesday","Recevra un bulletin scolaire à la maison mardi prochain"
"reportcard-nextwednesday","Will have a report card sent home next Wednesday","Recevra un bulletin scolaire à la maison mercredi prochain"
"reportcard-thursday","Will have a report card sent home Thursday","Recevra un bulletin scolaire à la maison jeudi "
"reportcard-tuesday","Will have a report card sent home Tuesday","Recevra un bulletin scolaire à la maison mardi"
"reportcard-wednesday","Will have a report card sent home Wednesday","Recevra un bulletin scolaire à la maison mercredi"
"inappropriateclothing","Wore inappropriate clothing","S'est présenté avec des vêtements peu convenables"
"wrokedwell","Worked well with others on a team","A bien travaillé avec d'autres au sein d'une équipe"
"worksefficiently","Works efficiently","Travaille efficacement"
